x,y,z
1.302349541,0.979495186,0
0.677401563,1.897133345,-9
1.314226993,3.441357076,-24
0.673349934,3.8549408,-45
1.205040041,5.45924092,-72
0.92780141,5.635915318,-105
1.313741239,7.30684496,-144
1.408110355,8.203601887,-189
0.95879652,8.581624413,-240
1.230743972,10.43268152,-297
1.535948292,0.607039443,6
1.896388928,1.652283743,-3
1.613112228,2.786152202,-18
2.081009722,3.641628385,-39
1.99441734,4.860284397,-66
1.907026431,5.781181986,-99
1.925313429,6.96350159,-138
2.329269655,7.859094253,-183
1.938799046,8.507259715,-234
2.468147911,9.837498083,-291
2.528444199,0.85654273,16
3.140314553,1.786633578,7
3.482765205,2.582301334,-8
2.628030818,3.763550981,-29
2.712941627,5.44640283,-56
2.845473791,5.905422623,-89
3.036541352,6.775828688,-128
2.905671409,7.935509188,-173
2.822054159,8.503435689,-224
3.472969074,9.61291259,-281
4.048572195,1.37229738,30
4.36259456,2.1105437,21
3.501478096,2.824025955,6
4.370443281,4.006834459,-15
4.405239951,5.486314765,-42
3.814687066,5.512836308,-75
3.911044481,7.274080926,-114
4.452318838,8.226365775,-159
4.016439159,9.233954831,-210
4.350405664,10.31838622,-267
5.221614006,0.941471767,48
4.937110368,2.335935265,39
4.885110654,3.174415433,24
4.577818546,4.328976715,3
4.516245473,4.612693231,-24
4.991024513,6.182987053,-57
5.106331759,7.397259658,-96
4.807492891,8.042465555,-141
5.23591677,8.656152101,-192
5.182451541,10.38077949,-249
5.866680133,0.533014413,70
6.019780053,1.612714397,61
6.402385278,2.719971669,46
6.123476501,3.863139717,25
6.288599854,5.453639275,-2
6.186537296,5.510991664,-35
6.457786793,6.998103309,-74
6.040793452,7.559833056,-119
5.66112688,9.257993699,-170
5.822599776,10.11844805,-227
7.093928179,0.548124834,96
6.893811999,1.811598119,87
6.932680422,2.859491006,72
7.246932843,4.452456215,51
6.719007093,5.326737035,24
6.527475642,6.447684551,-9
7.478273666,7.31356647,-48
7.168295188,7.797704187,-93
7.353179753,9.346250321,-144
6.877476619,10.36763584,-201
8.037293541,1.077537084,126
7.515651956,2.411262489,117
8.13982575,3.054048932,102
8.180059362,4.439961824,81
7.682285688,4.944765886,54
7.798281368,5.951972153,21
8.410457347,7.274058116,-18
8.180620293,8.129786544,-63
7.900093509,8.554539655,-114
8.14397479,9.719813041,-171
8.589037284,0.630751209,160
9.379388509,2.152040252,151
8.528148058,2.631063068,136
8.657595142,3.973476129,115
9.250697881,5.340283919,88
9.375405561,5.511068757,55
8.541569181,6.711358914,16
9.226182851,8.294119045,-29
9.133692966,8.649760519,-80
8.985927835,10.24894313,-137
9.76560335,1.258678108,198
9.696006852,1.877432001,189
10.06031892,2.952641473,174
10.38616309,4.088786631,153
9.568299279,4.630542241,126
9.646773063,6.360316695,93
10.44927602,7.396443296,54
9.613651731,8.293385952,9
9.504317772,9.19813991,-42
10.00696648,9.769444103,-99
